Gamelands,Plot,Species,Diameter,Diameter^2,Ba/Tree,Plot.Size.A 
SGL 33,P9,Sassafras,19.81,392.4361,0.030821931,0.0091
SGL 33,P10,Red Oak,66.29,4394.3641,0.345133356,0.0091
SGL 33,P10,Red Oak,49.02,2402.9604,0.18872851,0.0091
SGL 33,P10,White Oak,26.16,684.3456,0.053748503,0.0091
SGL 33,P11,,,0,0,0.0091
SGL 33,P12,Mockernut Hickory ,30.48,929.0304,0.072966048,0.0091
SGL 33,P12,Scarlet Oak ,21.34,455.3956,0.03576677,0.0091
SGL 33,P12,White Oak,29.72,883.2784,0.069372686,0.0091
SGL 33,P12,White Oak,22.1,488.41,0.038359721,0.0091
SGL 33,P12,White Oak,15.49,239.9401,0.018844895,0.0091
SGL 103,P1,Sassafras,12.954,167.806116,0.013179492,0.0091
SGL 103,P1,Sassafras,7.62,58.0644,0.004560378,0.0091
SGL 103,P1,Red Maple,23.114,534.256996,0.041960544,0.0091
SGL 103,P1,Red Maple,21.082,444.450724,0.03490716,0.0091
SGL 103,P1,Red Maple,22.098,488.321604,0.038352779,0.0091
SGL 103,P1,Red Maple,27.686,766.514596,0.060202056,0.0091
SGL 103,P2,Pitch Pine,35.56,1264.5136,0.099314898,0.0091
SGL 103,P3,Snag,28.448,809.288704,0.063561535,0.0091
SGL 103,P3,Red Maple,20.574,423.289476,0.033245155,0.0091
SGL 103,P3,Red Maple,23.876,570.063376,0.044772778,0.0091
SGL 103,P3,Red Maple,21.336,455.224896,0.035753363,0.0091
SGL 103,P3,sweet birch,27.686,766.514596,0.060202056,0.0091
SGL 103,P4,Red Maple,19.304,372.644416,0.029267492,0.0091
SGL 103,P4,Chestnut Oak ,9.398,88.322404,0.006936842,0.0091
SGL 103,P4,Sweet Birch ,9.144,83.612736,0.006566944,0.0091
SGL 103,P4,Sweet Birch ,15.24,232.2576,0.018241512,0.0091
SGL 103,P5,Scarlet Oak ,77.98,6080.8804,0.477592347,0.0091
SGL 103,P5,White Oak,36.58,1338.0964,0.105094091,0.0091
SGL 103,P5,Red Maple,9.91,98.2081,0.007713264,0.0091
SGL 103,P5,Sweet Birch ,19.81,392.4361,0.030821931,0.0091
SGL 103,P6,Snag,16.26,264.3876,0.020765002,0.0091
SGL 103,P6,Red Maple,23.268,541.399824,0.042521542,0.0091
SGL 103,P6,Red Maple,18.796,353.289616,0.027747366,0.0091
SGL 103,P6,Red Maple,17.78,316.1284,0.024828725,0.0091
SGL 103,P6,Snag,15.494,240.064036,0.018854629,0.0091
SGL 103,P7,Red Maple,39.878,1590.254884,0.124898619,0.0091
SGL 103,P7,northern red oak,43.434,1886.512356,0.14816668,0.0091
SGL 103,P7,Red Maple,34.544,1193.287936,0.093720834,0.0091
SGL 103,P8,Snag,27.432,752.514624,0.059102499,0.0091
SGL 103,P8,Snag,23.622,557.998884,0.043825232,0.0091
