TUBE.ID,PLOT.ID,MONTH,TREATMENT,TOT.COTTON.LOSS,DAMAGE.SCORE
PSU-SGL33-P6-B2,P6,APRIL,6D,2.25,2
PSU-SGL33-P6-B3,P6,APRIL,6D,0.23,2
PSU-SGL33-P6-B4,P6,APRIL,6D,0.28,1
PSU-SGL33-P6-B5,P6,APRIL,6D,0.19,2
PSU-SGL33-P6-B6,P6,APRIL,6D,0.37,1
PSU-SGL33-P6-B7,P6,APRIL,6D,4.3,
PSU-SGL33-P6-B8,P6,APRIL,6D,0.05,1
PSU-SGL33-P6-B9,P6,APRIL,6D,0.21,1
PSU-SGL33-P6-B10,P6,APRIL,6D,-0.05,1
PSU-SGL33-P6-B11,P6,APRIL,6D,0.09,1
PSU-SGL33-P6-B12,P6,APRIL,6D,0.1,1
PSU-SGL33-P8-A1,P8,APRIL,2D,4.36,2
PSU-SGL33-P8-A2,P8,APRIL,2D,4.41,4
PSU-SGL33-P8-A3,P8,APRIL,2D,4.4,2
PSU-SGL33-P8-A4,P8,APRIL,2D,1.53,4
PSU-SGL33-P8-A5,P8,APRIL,2D,4.33,4
PSU-SGL33-P8-A6,P8,APRIL,2D,1.73,5
PSU-SGL33-P8-A7,P8,APRIL,2D,3.51,1
PSU-SGL33-P8-A8,P8,APRIL,2D,1.28,2
PSU-SGL33-P8-A9,P8,APRIL,2D,4.31,2
PSU-SGL33-P8-A10,P8,APRIL,2D,4,3
PSU-SGL33-P8-A11,P8,APRIL,2D,4.4,3
PSU-SGL33-P8-A12,P8,APRIL,2D,4.42,4
PSU-SGL33-P8-B1,P8,APRIL,2D,4.34,
PSU-SGL33-P8-B2,P8,APRIL,2D,4.29,
PSU-SGL33-P8-B3,P8,APRIL,2D,4.42,
PSU-SGL33-P8-B4,P8,APRIL,2D,4.33,2
PSU-SGL33-P8-B5,P8,APRIL,2D,4.29,
PSU-SGL33-P8-B6,P8,APRIL,2D,4.32,
PSU-SGL33-P8-B7,P8,APRIL,2D,4.31,4
PSU-SGL33-P8-B8,P8,APRIL,2D,4.38,4
PSU-SGL33-P8-B9,P8,APRIL,2D,4.39,4
PSU-SGL33-P8-B10,P8,APRIL,2D,4.32,
PSU-SGL33-P8-B11,P8,APRIL,2D,4.41,
PSU-SGL33-P8-B12,P8,APRIL,2D,4.37,
PSU-SGL33-P9-A1,P9,APRIL,6D,0.09,2
PSU-SGL33-P9-A2,P9,APRIL,6D,0.11,2
PSU-SGL33-P9-A3,P9,APRIL,6D,0.16,1
PSU-SGL33-P9-A4,P9,APRIL,6D,0.1,2
PSU-SGL33-P9-A5,P9,APRIL,6D,0.54,1
PSU-SGL33-P9-A6,P9,APRIL,6D,1.25,1
PSU-SGL33-P9-A7,P9,APRIL,6D,0,1
PSU-SGL33-P9-A8,P9,APRIL,6D,4.44,2
PSU-SGL33-P9-A9,P9,APRIL,6D,4.53,1
PSU-SGL33-P9-A10,P9,APRIL,6D,0.12,2
PSU-SGL33-P9-A11,P9,APRIL,6D,1.28,1
PSU-SGL33-P9-A12,P9,APRIL,6D,4.33,1
PSU-SGL33-P9-B1,P9,APRIL,6D,0.13,3
PSU-SGL33-P9-B2,P9,APRIL,6D,0.06,1
PSU-SGL33-P9-B3,P9,APRIL,6D,0.05,3
PSU-SGL33-P9-B4,P9,APRIL,6D,0.09,1
PSU-SGL33-P9-B5,P9,APRIL,6D,0.13,1
PSU-SGL33-P9-B6,P9,APRIL,6D,0.15,1
PSU-SGL33-P9-B7,P9,APRIL,6D,0.67,1
PSU-SGL33-P9-B8,P9,APRIL,6D,4.1,2
PSU-SGL33-P9-B9,P9,APRIL,6D,4.45,1
PSU-SGL33-P9-B10,P9,APRIL,6D,0.77,1
